IN_COD,IN_pH,IN_SS,IN_NH,IN_TP,IN_TN,N-O-E_ORP,N-O-E_MLSS,N-O-E_DO,N_PO4,N-A_NH,N-O_NO,S-O-E_ORP,S-O-E_MLSS,S-O-E_DO,S_PO4,S-A_NH,S-O_NO,EF_COD,EF_SS,EF_NH,EF_TP,EF_TN,1#TMP,2#TMP,3#TMP,4#TMP,5#TMP,6#TMP,7#TMP,8#TMP,9#TMP,turbidity,date
299,6.62,214.29,46.84,4.49,49.57,7002.9,422.71,6824.35,2.449130859,0.36,15.69,7147.87,426.1489453,7196.7,2.639375,0.26,15.61,9,0.71,0.01,0.14,8.46,30.18,27.94,0.29,0.82,30.38,30.69,0.54,26.42,27.47,0.29,2021/11/1 11:00
299,6.71,185.56,44.72,4.49,47.75,7024.26,424.23,6796.89,2.32956543,0.34,18.27,7178.39,426.2194727,7144.82,2.51,0.23,15.46,9,0.7,0.01,0.14,8.46,30.25,28,0.29,31.69,30.2,30.82,0.5,26.63,27.56,0.29,2021/11/1 12:00
279,6.78,176.8,44.72,4.49,47.75,7036.47,425.84,6760.26,2.254782715,0.36,20.02,7221.12,424.6547363,7207.39,2.27,0.23,15.21,8.4,0.74,0.01,0.14,8.1,30.68,28.03,0.38,0.86,30.27,1.15,0.17,27.26,27.74,0.29,2021/11/1 13:00
279,6.78,126.55,44.72,4.7,49.82,6888.45,424.46,6751.11,2.462391357,0.41,19.91,6943.38,424.7873682,7166.18,2.11,0.24,14.75,8.4,0.75,0.03,0.14,8.1,30.92,26.62,0.34,0.9,18.11,29.41,0.29,0.78,28.18,0.28,2021/11/1 14:00
267,6.8,123.75,46.5,4.7,49.82,6917.44,428.43,6719.06,2.681195679,0.4,20.03,7115.82,425.5786841,7225.7,2.5,0.12,14.41,9,0.73,0.03,0.13,8.49,30.83,2.64,0.39,0.87,30.6,3.65,0.53,27.01,27.73,0.32,2021/11/1 15:00
267,6.86,147.4,46.5,4.63,47.05,6865.56,432.86,6711.43,2.895597839,0.39,20.02,7169.24,426.814342,7300.47,2.45,0.06,14.06,9,0.66,0.03,0.13,8.49,31.01,29.03,0.43,0.95,30.88,31.23,0.44,0.7,27.77,0.29,2021/11/1 16:00
213,6.79,155.38,46.5,4.63,47.05,6912.86,436.44,6723.64,2.88779892,0.4,20.03,7186.02,427.277171,7184.5,2.4,0.03,13.7,9.6,0.7,0.03,0.12,8.28,30.7,28.88,0.22,0.67,30.71,30.66,0.28,27.77,27.48,0.3,2021/11/1 17:00
213,6.88,140.6,47.3,4.53,46.76,6839.62,438.425,6697.7,2.89389946,0.38,20.03,7164.66,428.0835855,7251.64,2.35,0.015,13.65,9.6,0.72,0.03,0.12,8.28,19.33,29.05,0.21,0.59,30.83,31.2,0.35,27.87,27.4,0.3,2021/11/1 18:00
179,6.9,142.82,47.3,4.53,46.76,6886.92,438.3475,6667.18,2.65694973,0,20.03,7195.18,426.0817928,7286.74,2.24,0.0075,13.43,9.7,0.75,0.03,0.12,8.4,31.23,29.11,0.3,0.67,16.4,0.98,0.32,27.99,1.96,0.29,2021/11/1 19:00
179,6.92,157.3,47.3,4.49,47.01,6903.71,438.69375,6693.12,2.623474865,0.38,20.03,7121.93,425.1558964,7118.88,2.13,0.08875,13.63,9.7,0.63,0.03,0.12,8.4,31.18,28.93,0.18,0.7,9.06,30.97,2.15,27.76,28.05,0.29,2021/11/1 20:00
155,6.95,151.47,47.83,4.49,47.01,7013.58,437.681875,6802.99,2.306737432,0.36,20.03,7237.91,423.7429482,7239.43,2.27,0.17,13.93,8.8,0.68,0.03,0.11,8.6,31.28,29.13,0.31,0.78,30.77,30.9,0.17,0.81,28.1,0.28,2021/11/1 21:00
155,6.95,132.74,47.83,4.45,46.53,6906.76,436.67,6627.5,2.043368716,0.35,10.56,7234.85,422.9214741,7244.01,2.21,0.195,14.14,8.8,0.79,0.02,0.11,8.6,31.29,1.77,0.34,0.43,30.96,30.73,0.57,28.49,27.69,0.29,2021/11/1 22:00
140,7,127.56,47.83,4.45,46.53,6839.62,435.45,6772.47,1.961684358,0.32,8.11,7063.94,420.715737,7251.64,1.88,0.22,14.4,9.6,0.73,0.02,0.11,7.76,2.13,29.77,0.17,0.5,31.36,30.49,0.53,28.63,0.92,0.29,2021/11/1 23:00
140,7,188.59,45.23,4.52,48.12,6874.71,432.4,6731.27,1.820842179,0.31,9.9,7166.18,419.2678685,7134.14,1.84,0.28,14.85,9.6,0.69,0.02,0.11,7.76,31.53,29.28,0.25,0.5,0.33,8.52,1.22,27.86,27.21,0.29,2021/11/2 0:00
132,7,199.16,45.23,4.52,48.12,6911.34,432.47,6513.05,1.56042109,0.31,9.58,7184.5,417.2089343,7242.48,1.88,0.09,15.15,9.7,0.61,0.02,0.1,7.54,30.85,28.88,29.32,0.49,30.36,30.24,0.23,27.72,27.7,0.29,2021/11/2 1:00
132,7.04,226.3,45.23,4.64,48.66,6853.35,428.89,6745,1.530210545,0.29,8.01,7030.37,415.2644671,7176.87,1.44,0.28,15.49,9.7,0.71,0.01,0.1,7.54,31.84,0.81,0.32,0.48,30.86,30.97,0.24,0.69,27.99,0.29,2021/11/2 2:00
137,7.02,155.17,47.31,4.64,48.66,6824.35,430.34,6569.51,1.620105272,0.28,8.63,7097.51,416.6222336,7222.65,1.3,0.11,15.81,9,0.75,0.01,0.1,7.72,30.95,28.74,29.24,0.51,30.16,30.52,0.45,28.4,27.52,0.3,2021/11/2 3:00
137,6.96,195.67,47.31,4.62,50.35,6937.28,433.39,6726.69,1.465052636,0.27,10.03,7088.36,416.6511168,7196.7,2.02,0.33,16.2,9,0.71,0.02,0.1,7.72,1.25,1.22,0.38,0.4,30.76,30.49,0.45,28.51,28.03,0.29,2021/11/2 4:00
164,6.88,174.79,47.31,4.62,50.35,6868.61,431.33,6658.02,1.577526318,0.28,9.3,7102.09,417.6205584,7134.14,1.51,0.29,16.13,9.3,0.75,0.02,0.09,7.94,31.54,29.22,0.17,0.46,30.49,30.84,0.21,28.51,27.37,0.3,2021/11/2 5:00
164,6.92,108.14,48.54,4.68,52.37,6761.79,434.76,6702.27,1.733763159,0.27,8.83,6972.38,417.0752792,7129.56,1.48,0.145,16.22,9.3,0.77,0.03,0.09,7.94,32.06,30.08,0.05,0.48,0.68,30.74,0.18,28.76,0.97,0.29,2021/11/2 6:00
303,6.95,109.73,48.54,4.68,52.37,6885.4,437.165,6647.34,1.81688158,0,11.08,7134.14,419.7376396,7063.94,2.06,0.0975,15.69,9.9,0.7,0.03,0.08,8.26,30.75,29.93,0.07,0.54,31.2,8.83,0.41,0.8,28.82,0.29,2021/11/2 7:00
303,6.92,8.22,48.54,4.83,53.38,6804.52,439.6275,6609.19,1.82844079,0.29,11.18,7143.29,423.1288198,7099.04,2.28,0.13875,15.76,9.9,0.74,0.03,0.08,8.26,31.66,13.52,0.21,0.85,30.65,30.43,0.5,28.67,27.81,0.29,2021/11/2 8:00
366,6.93,9.26,50.04,4.83,53.38,6680.91,357.91875,6529.83,1.019220395,0.28,10.23,6941.86,377.9744099,7126.51,2.11,0.18,15.6,8.6,0.75,0.03,0.08,8.47,30.92,29.12,0.07,30.31,30.02,29.36,28.94,27.79,27.05,0.3,2021/11/2 9:00
366,7.01,134.54,50.04,4.67,49.53,5470.78,276.21,6633.6,0.21,0.28,5.67,5840.07,332.82,6918.97,0.22,0.09,10.46,8.6,0.78,0.02,0.08,8.47,32.04,30.19,0.05,0.68,1.18,30.82,0.52,28.89,1.41,0.31,2021/11/2 10:00
306,7.04,119.38,50.04,4.67,49.53,6734.32,302.61,6600.03,0.89,0.34,10.78,7140.24,334.96,7059.36,1.93,0.045,14.26,9.4,0.72,0.02,0.08,8.86,31.52,29.95,0.17,0.67,30.68,30.08,0.32,27.53,27.41,0.3,2021/11/2 11:00
306,7.07,121.58,45.89,4.67,49.53,6647.34,389.59,6445.9,1.68,0.28,9.11,7015.11,402.87,7083.78,2.45,0.0225,14.34,9.4,0.73,0.03,0.08,8.86,32.05,30.4,0.29,1.01,0.73,2.01,0.56,1.04,28.22,0.33,2021/11/2 12:00
241,7.07,125.18,45.89,4.67,49.53,6685.49,407.37,6528.31,2.34,0.27,15.49,6943.38,412.18,7182.97,2.875,0.10625,14.44,9.9,0.69,0.03,0.08,8.64,31.54,29.61,0.22,0.81,29.95,29.26,29.35,27.85,27.14,0.3,2021/11/2 13:00
241,7.03,129.51,45.89,4.67,49.53,6671.75,416.6,6575.61,1.28,0.25,20.03,7082.25,345.415,7112.77,1.5575,0.19,14.54,9.9,0.83,0.01,0.08,8.64,30.71,29.52,0.34,0.82,30.3,0.87,0.37,29.24,28,0.3,2021/11/2 14:00
197,7.1,124.11,48.18,4.67,49.53,6621.39,259.35,6493.21,0.22,0.33,6.7,6844.19,278.65,6998.32,0.24,0.16,12.34,8.1,0.67,0.01,0.09,8.42,1.81,0.84,0.24,0.67,30.81,30.68,0.38,29.17,28.25,0.29,2021/11/2 15:00
197,7.11,97.48,48.18,4.67,49.53,6624.45,397.07,6525.26,1.515,0.27,8.81,6889.97,395.09,7085.3,1.79,0.165,13.47,8.1,0.9,0.01,0.09,8.42,31.91,30.38,0.29,29.97,0.5,29.91,29.74,26.91,0.96,0.29,2021/11/2 16:00
295,7.03,107.79,48.18,4.67,49.53,6725.16,405.54,6558.83,2.0425,0.27,13.52,6983.06,406.305,7076.15,2.57,0.17,14.43,13.2,0.63,0.01,0.09,8.32,31.07,30,0.39,0.44,30.64,0.92,0.34,29.3,28.44,0.3,2021/11/2 17:00
295,6.98,132.5,50.3,4.72,63.07,6662.6,408.06,6447.43,2.37625,0.27,10.24,6879.29,413.3225,6947.96,2.985,0.085,14.85,13.2,0.72,0.02,0.09,8.32,1.63,30.16,0.26,0.42,31,30.73,0.39,29.37,28.21,0.31,2021/11/2 18:00
293,7.01,119.07,50.3,4.72,63.07,6545.09,413.55,6377.23,1.303125,0,9.64,6957.12,351.10125,6986.11,1.6675,0.0425,15.08,8.6,0.67,0.02,0.09,8.86,32.04,27.9,0.3,0.44,30.66,30.22,28.94,28.51,27.7,0.31,2021/11/2 19:00
293,7.06,153.62,50.3,4.78,57.97,6517.63,263.54,6508.47,0.23,0.37,6.02,6886.92,288.88,7115.82,0.35,0.03125,12.33,8.6,0.7,0.02,0.09,8.86,32.2,1.92,0.34,0.54,30.8,1.44,1,0.85,28.71,0.29,2021/11/2 20:00
204,7.05,172.08,48.89,4.78,57.97,6593.93,375.71,6438.27,1.045,0.35,7.8,7031.89,384.94,7099.04,1.58,0.035625,14.21,11.1,0.78,0.02,0.09,7.82,31.07,30.36,0.46,0.78,3.74,30.72,0.54,29.14,27.66,0.3,2021/11/2 21:00
204,7.05,195.47,48.89,4.96,56.99,6595.45,394.4,6474.9,1.2975,0.35,7.88,6899.13,403.33,7070.04,2.045,0.2178125,15.16,11.1,0.71,0.03,0.09,7.82,31.36,30.06,0.43,0.71,30.32,30.46,0.29,29.19,1.17,0.29,2021/11/2 22:00
190,7.08,204.76,48.89,4.96,56.99,6650.39,390.13,6432.17,1.36375,0.37,7.53,6940.33,403.78,7033.42,2.51,0.34390625,15.48,10.9,0.79,0.03,0.09,8.03,31.34,29.93,0.42,0.75,30.33,29.71,28.76,28.15,27.1,0.29,2021/11/2 23:00
190,7.06,150.49,45.68,4.59,49.98,6567.98,390.66,6328.4,1.656875,0.38,7.99,6934.23,404.78,7034.95,2.48,0.171953125,15.93,10.9,0.76,0.03,0.09,8.03,31.48,29.83,0.47,0.86,30.1,29.76,28.96,28.2,27.48,0.29,2021/11/3 0:00
184,7.02,100,45.68,4.59,49.98,6694.64,396.23,6496.26,1.6534375,0.38,8.49,6899.13,408.21,7053.26,2.505,0.210976563,16.16,9.7,0.69,0.03,0.1,7.82,31.6,30.08,0.33,0.69,30.44,30.76,0.24,0.4,28.18,0.29,2021/11/3 1:00
184,7,94.2,45.68,4.6,49.3,6625.97,395.32,6514.57,1.64671875,0.39,8.19,6943.38,406.76,7002.9,2.3525,0.25,16.31,9.7,0.67,0.03,0.1,7.82,2.12,30.74,0.29,0.71,20.43,30.24,0.61,29.47,1.07,0.3,2021/11/3 2:00
172,6.97,100.08,48.49,4.6,49.3,6683.96,397.22,6346.71,1.488359375,0.39,8.79,7018.16,405.92,7184.5,2.2,0.38,16.85,9.8,0.75,0.03,0.11,7.76,32.03,30.45,0.49,0.52,30.58,0.89,0.52,29.39,28.51,0.29,2021/11/3 3:00
172,6.92,173.69,48.49,4.57,49.8,6612.24,393.18,6510,1.504179688,0.4,8.56,6931.18,402.95,6946.44,1.94,0.245,16.67,9.8,0.74,0.02,0.11,7.76,31.7,30.28,0.1,0.57,30.84,30.49,0.54,29.55,28.17,0.3,2021/11/3 4:00
159,6.8,209.39,48.49,4.57,49.8,6671.75,395.32,6499.31,1.527089844,0.41,9.68,6894.55,402.18,6990.69,1.95,0.11,16.55,9.4,0.76,0.02,0.12,8.29,31.41,30.25,0.07,0.63,30.62,30.12,28.95,28.78,27.82,0.29,2021/11/3 5:00
159,6.82,170.87,48.94,4.39,50.2,6641.23,397.53,6371.13,1.463544922,0.42,9.92,6903.71,401.04,7034.95,1.97,0.055,16.54,9.4,0.72,0.03,0.12,8.29,33.22,0.86,8.77,20.61,4.29,30.35,14.3,29.37,9.49,0.29,2021/11/3 6:00
145,6.9,155.82,48.94,4.39,50.2,6767.89,397.91,6630.55,1.516772461,0,9.35,6888.45,401.8,6975.43,2.02,0.0925,16.79,9.3,0.66,0.03,0.12,11.665,31.67,29.24,0.21,0.93,27.76,30.52,29.6,29.19,0.71,0.31,2021/11/3 7:00
145,6.95,133.64,48.94,4.39,50.2,6685.49,397.53,6423.01,1.77838623,0.47,9.47,7044.1,401.65,7102.09,2.08,0.13,16.07,9.3,0.82,0.03,0.12,10.4925,1.51,1.22,0.13,0.86,0.93,31.06,0.32,29.76,27.93,0.29,2021/11/3 8:00
136,6.95,155.48,49.03,4.39,50.2,6676.33,406.53,6511.52,2.054193115,0.46,10.58,6955.59,406.15,7053.26,2.36,0.13,15.79,13.3,0.71,0.03,0.13,9.32,32.02,30.42,0.19,0.86,30.7,29.46,0.27,29.59,28.03,0.29,2021/11/3 9:00
136,6.95,143.28,49.03,4.39,50.2,6682.44,410.88,6549.67,1.132096558,0.44,11.58,6984.59,407.68,7077.67,2.36,0.1,15.62,13.3,0.71,0.04,0.13,9.32,32.24,30.71,0.18,0.86,30.7,0.61,0.22,29.58,28.38,0.29,2021/11/3 10:00
127,6.97,196.58,49.03,4.39,50.2,4874.1,238.67,6508.47,0.21,0.46,4.95,5591.33,248.28,7010.53,0.22,0.06,8.9,9.1,0.83,0.04,0.13,8.97,32.06,30.67,31.29,0.87,0.05,31.24,29.94,0.12,1.08,0.3,2021/11/3 11:00
127,6.96,209.19,45.2,4.39,50.2,6726.69,320.16,6464.21,1.005,0.46,8.64,6954.07,317.03,7041.05,1.23,0.38,13.97,9.1,0.91,0.03,0.13,8.97,31.14,28.01,30.79,28.5,29.24,30.58,29.09,0.1,27.82,0.32,2021/11/3 12:00
127,6.95,216.3,45.2,4.39,50.2,6864.03,379.22,6571.04,1.4625,0.4,9.05,6856.4,375.32,6964.75,1.46,0.31,14.35,9.9,0.68,0.03,0.14,8.83,2.81,31.28,1.15,0.77,0.08,30.35,30.23,0.15,28.23,0.29,2021/11/3 13:00
127,6.95,225.23,45.2,4.39,50.2,6973.9,386.16,6687.01,1.52625,0.37,10.22,6896.08,383.34,6954.07,1.71,0.24,15.15,9.9,0.86,0.04,0.14,8.83,31.69,30.2,31.83,29.49,19.03,29.67,30.13,0.09,28.01,0.29,2021/11/3 14:00
120,6.95,172.39,48.21,4.39,50.2,6899.13,383.64,6825.88,1.688125,0.35,9.43,6885.4,380.67,6918.97,1.33,0.125,15.58,8.8,0.63,0.04,0.13,8.82,32.16,30.38,31.65,30.06,24.32,30.71,30.2,27.78,28.03,0.3,2021/11/3 15:00
120,6.93,0.75,48.21,4.39,50.2,7009,385.93,6748.05,1.4890625,0.35,9.51,7031.89,384.56,7010.53,1.41,0.0925,16.05,8.8,0.83,0.03,0.13,8.82,31.89,30.52,32.06,30.36,0.05,30.61,30.17,0.03,27.86,0.3,2021/11/3 16:00
121,6.86,0.68,48.21,4.39,50.2,7009,379.9,6851.82,1.38453125,0.34,9.19,6899.13,379.52,6980.01,1.28,0.25625,16.23,10,0.83,0.03,0.13,8.77,32.42,12,32.86,0.5,0.02,31.01,29.32,0.08,0.6,0.29,2021/11/3 17:00
121,6.86,0.65,51.08,4.39,50.2,6850.3,378.61,6667.18,1.557265625,0.35,9.6,6949.49,374.26,6984.59,0.92,0.128125,15.92,10,0.75,0.03,0.13,8.77,31.99,31.14,0.41,1.01,0.18,30.77,2.45,0.03,28.36,0.29,2021/11/3 18:00
129,6.86,0.72,51.08,4.39,50.2,6889.97,386.39,6885.4,1.908632813,0,10.62,6891.5,383.03,6934.23,1.92,0.1490625,16.49,8.9,0.72,0.03,0.12,8.7,31.61,29.8,31.59,29.22,14.38,29.54,29.35,27.02,27.12,0.34,2021/11/3 19:00
129,6.86,0.6,51.08,4.39,50.2,7111.25,395.39,6847.25,1.779316406,0.38,10.52,6860.98,397.3,6949.49,2.18,0.17,16.86,8.9,0.94,0.02,0.12,8.7,32.48,30.7,32.36,0.89,0.13,30.72,30.78,0.17,28.08,0.31,2021/11/3 20:00
245,6.86,0.84,51.71,4.39,50.2,7022.74,390.36,6841.14,1.434658203,0.37,9.71,6825.88,390.81,6920.49,1.74,0.1,16.1,9.3,0.8,0.02,0.11,8.23,31.9,29.77,31.62,29.99,29.03,29.92,30.38,0.11,27.72,0.33,2021/11/3 21:00
245,7.05,174.53,51.71,4.39,50.2,7131.08,377.23,6928.12,1.272329102,0.38,9.3,6789.26,380.13,6923.55,1.07,0.1,15.54,9.3,0.74,0.03,0.11,8.23,32.25,1.01,32.39,28.73,28.18,1.16,31.32,0.19,2.14,0.29,2021/11/3 22:00
312,7.06,50.3,51.71,4.39,50.2,7036.47,377.92,6850.3,1.591164551,0.38,10.18,6860.98,377.84,6947.96,1.33,0.1,16.17,9.6,0.7,0.03,0.11,8.8,1.77,31.39,0.71,0.81,0.08,30.91,30.56,0.29,28.54,0.29,2021/11/3 23:00
312,7.04,66.52,47.51,4.83,53.94,7060.89,383.72,6784.68,1.750582275,0.35,10.49,6836.56,388.07,6995.27,1.9,0.325,17.24,9.6,0.8,0.03,0.11,8.8,32.04,30.23,32.21,30.46,0.05,30.39,0.33,0.2,28.31,0.3,2021/11/4 0:00
287,7.02,61.44,47.51,4.83,53.94,7001.37,388.6,6946.44,1.930291138,0.34,11.51,6845.72,393.79,6951.02,2.1,0.2425,17.2,10.3,0.77,0.03,0.11,8.59,31.5,30.08,31.63,30.23,28.92,29.99,30.13,0.18,27.64,0.3,2021/11/4 1:00
287,7.01,13.19,47.51,4.74,51.7,7120.4,392.03,6951.02,1.825145569,0.33,11.33,6879.29,397.68,6938.81,2.25,0.16,17.56,10.3,0.75,0.04,0.11,8.59,31.81,10.89,31.86,30.6,29.79,30.07,30.92,0.03,27.94,0.3,2021/11/4 2:00
247,7.01,186.01,49.06,4.74,51.7,7041.05,391.04,6787.73,1.952572784,0.32,11.05,7079.2,396,6992.22,1.97,0.145,17.8,9.9,0.98,0.04,0.1,8.68,32.42,0.9,31.48,30.97,0.07,2.4,31.19,0.16,2.36,0.29,2021/11/4 3:00
247,7.02,195.78,49.06,4.77,52.49,7172.29,394.09,6969.33,1.881286392,0.32,11.75,6967.8,400.27,7018.16,2.4,0.13,17.92,9.9,0.81,0.04,0.1,8.68,32.35,30.38,32.83,0.74,0.22,30.38,30.39,0.13,27.87,0.29,2021/11/4 4:00
229,7.05,177.9,49.06,4.77,52.49,6925.07,395.47,6940.33,2.030643196,0.32,11.94,6905.23,402.11,6969.33,2.29,0.305,17.91,8.3,0.86,0.04,0.1,8.92,32.06,30.23,1.17,30.39,28.86,30.33,30.38,0.15,27.93,0.33,2021/11/4 5:00
229,7.09,185.57,49.28,4.58,51.61,7167.71,400.35,6946.44,1.765321598,0.34,13.64,6876.24,405.39,6992.22,2.185,0.1525,17.8,8.3,0.89,0.04,0.1,8.92,1.98,30.86,32.8,28.43,0.11,30.81,0.92,0.16,28.45,0.32,2021/11/4 6:00
234,7.1,190.09,49.28,4.58,51.61,7044.1,394.78,6922.02,1.537660799,0,11.49,6944.91,403.33,6944.91,2.08,0.13125,17.54,8.8,0.78,0.04,0.1,9.16,32.49,30.51,32.75,1.09,0.08,31.01,31.1,0.18,1.38,0.3,2021/11/4 7:00
234,7.09,141.22,49.28,4.5,49.28,7095.99,391.65,6830.46,1.3188304,0.31,10.4,6841.14,400.73,7009,1.65,0.11,17.2,8.8,0.88,0.04,0.1,9.16,32.44,0.7,32.4,31.43,0.05,29.9,30.89,0.22,28.2,0.31,2021/11/4 8:00
216,7.11,155.71,48.97,4.5,49.28,6989.17,386.62,6972.38,0.7644152,0.29,10.09,6902.18,396.31,6960.17,1.48,0.055,17.08,8.8,0.72,0.04,0.09,9.26,32.01,30.32,31.54,1.49,29.13,2.42,30.89,0.15,27.81,0.31,2021/11/4 9:00
216,7.07,216.31,48.97,4.47,49.32,5870.59,210.97,6896.08,0.21,0.33,4.48,4663.51,209.6,6862.51,0.22,0.2575,8.35,8.8,0.75,0.04,0.09,9.26,32.1,30.59,8.9,0.96,0.06,30.75,0.74,0.23,28.29,0.3,2021/11/4 10:00
187,6.78,190.26,48.97,4.47,49.32,6903.71,276.59,6804.52,1.115,0.34,8.52,6865.56,307.95,6957.12,1.39,0.41875,14.46,14.6,0.72,0.06,0.19,9.99,1.59,30.27,32.29,30.23,28.6,30.18,30.54,0.18,27.47,0.31,2021/11/4 11:00
187,6.69,119.76,42.98,4.43,48.93,6923.55,374.41,6813.67,1.5525,0.29,10.19,6850.3,372.04,6961.7,1.83,0.209375,15.32,14.6,0.52,0.05,0.19,9.99,1.67,30.8,33.17,1.62,0,31.29,0.65,0.19,1.07,0.3,2021/11/4 12:00
414,6.72,110.56,42.98,4.43,48.93,7013.58,378.45,6891.5,1.47625,0.27,9.96,6867.08,383.79,6972.38,1.95,0.1296875,15,10,0.64,0.05,0.13,10.71,31.61,30.05,31.74,21.43,28.73,1.17,31.23,0.14,28.13,0.3,2021/11/4 13:00
414,6.56,128.55,42.98,4.68,48.86,7041.05,367.39,6860.98,1.488125,0.31,8.47,6870.14,377.99,6996.8,1.41,0.43984375,14.41,10,0.69,0.07,0.13,10.71,32.45,30.99,30.88,0.64,0.11,30.77,30.97,0.17,28.82,0.3,2021/11/4 14:00
379,6.65,161.66,42.18,4.68,48.86,6990.69,367.16,6720.59,1.2990625,0.35,8.2,6938.81,373.95,6947.96,1.5,0.299921875,14.04,10.4,0.65,0.07,0.09,9.33,32.04,30.57,1.39,30.4,28.78,30.36,30.54,0.25,27.59,0.3,2021/11/4 15:00
379,6.69,132.21,42.18,4.64,47.94,7039.52,361.28,6911.34,1.31453125,0.4,7.84,6923.55,360.45,6992.22,0.76,0.16,12.59,10.4,0.66,0.07,0.09,9.33,31.8,30.46,32.23,1.23,28.02,29.95,30.19,25.58,27.11,0.3,2021/11/4 16:00
303,6.74,168.51,42.18,4.64,47.94,7089.88,356.48,6966.27,1.552265625,0.51,7.54,7071.57,367.92,7019.69,1.42,0.08,12.94,8.8,0.69,0.07,0.09,8.44,1.2,30.94,0.28,30.9,28.97,30.77,0.3,27.32,1.08,0.3,2021/11/4 17:00
303,6.85,96.71,43.6,4.8,50.95,6897.6,365.71,6650.39,1.691132813,0.56,8.69,7015.11,377.92,6976.96,2.07,0.04,14.03,8.8,0.58,0.06,0.09,8.44,1.13,0.99,32.47,31.33,29.41,1.4,0.5,27.54,28.78,0.3,2021/11/4 18:00
237,7.02,93.39,43.6,4.8,50.95,6981.54,368.69,6917.44,1.855566406,0,8.36,6897.6,381.81,6970.85,2.13,0.02,14.4,11.4,0.63,0.06,0.1,8.36,30.93,30.26,31.49,30.71,28.29,29.63,29.54,25.94,27.41,0.3,2021/11/4 19:00
